id_mutation;date_mutation;numero_disposition;nature_mutation;valeur_fonciere;adresse_numero;adresse_suffixe;adresse_nom_voie;adresse_code_voie;code_postal;code_commune;nom_commune;code_departement;ancien_code_commune;ancien_nom_commune;id_parcelle;ancien_id_parcelle;numero_volume;lot1_numero;lot1_surface_carrez;lot2_numero;lot2_surface_carrez;lot3_numero;lot3_surface_carrez;lot4_numero;lot4_surface_carrez;lot5_numero;lot5_surface_carrez;nombre_lots;code_type_local;type_local;surface_reelle_bati;nombre_pieces_principales;code_nature_culture;nature_culture;code_nature_culture_speciale;nature_culture_speciale;surface_terrain;longitude;latitude;section_prefixe
"2021-149468";"2021-06-30";"1";"Vente";"185000.0";"15.0";"C";"RUE DU MONT SAINT MICHEL";"0087";"35830";"35024";"Betton";"35";"None";"None";"35024000AL0064";"None";"None";"50";"nan";"None";"None";"None";"None";"None";"None";"None";"None";"1";"2";"Appartement";"64.0";"3.0";"None";"None";"None";"None";"nan";"-1.635695";"48.181764";"000AL"
"2021-149468";"2021-06-30";"1";"Vente";"185000.0";"9001.0";"None";"RUE DU MONT SAINT MICHEL";"0087";"35830";"35024";"Betton";"35";"None";"None";"35024000AL0064";"None";"None";"75";"nan";"None";"None";"None";"None";"None";"None";"None";"None";"1";"3";"Dépendance";"nan";"0.0";"None";"None";"None";"None";"nan";"-1.635695";"48.181764";"000AL"
"2021-149468";"2021-06-30";"1";"Vente";"185000.0";"9001.0";"None";"RUE DU MONT SAINT MICHEL";"0087";"35830";"35024";"Betton";"35";"None";"None";"35024000AL0064";"None";"None";"137";"nan";"None";"None";"None";"None";"None";"None";"None";"None";"1";"3";"Dépendance";"nan";"0.0";"None";"None";"None";"None";"nan";"-1.635695";"48.181764";"000AL"
"2021-149612";"2021-06-24";"1";"Vente";"8000.0";"21.0";"None";"RUE DU MONT SAINT MICHEL";"0087";"35830";"35024";"Betton";"35";"None";"None";"35024000AL0070";"None";"None";"141";"nan";"None";"None";"None";"None";"None";"None";"None";"None";"1";"3";"Dépendance";"nan";"0.0";"None";"None";"None";"None";"nan";"-1.634513";"48.182604";"000AL"
"2021-148390";"2021-06-03";"1";"Vente";"185500.0";"1.0";"None";"ALL JEAN SEBASTIEN BACH";"0187";"35830";"35024";"Betton";"35";"None";"None";"35024000AL0364";"None";"None";"5";"69.44";"None";"None";"None";"None";"None";"None";"None";"None";"1";"2";"Appartement";"69.0";"3.0";"None";"None";"None";"None";"nan";"-1.632645";"48.185112";"000AL"
"2021-148390";"2021-06-03";"1";"Vente";"185500.0";"1.0";"None";"ALL JEAN SEBASTIEN BACH";"0187";"35830";"35024";"Betton";"35";"None";"None";"35024000AL0364";"None";"None";"49";"nan";"None";"None";"None";"None";"None";"None";"None";"None";"1";"3";"Dépendance";"nan";"0.0";"None";"None";"None";"None";"nan";"-1.632645";"48.185112";"000AL"
"2021-148390";"2021-06-03";"1";"Vente";"185500.0";"1.0";"None";"ALL JEAN SEBASTIEN BACH";"0187";"35830";"35024";"Betton";"35";"None";"None";"35024000AL0364";"None";"None";"22";"nan";"None";"None";"None";"None";"None";"None";"None";"None";"1";"3";"Dépendance";"nan";"0.0";"None";"None";"None";"None";"nan";"-1.632645";"48.185112";"000AL"
"2021-147451";"2021-04-27";"1";"Vente";"130500.0";"21.0";"A";"RUE DU MONT SAINT MICHEL";"0087";"35830";"35024";"Betton";"35";"None";"None";"35024000AL0070";"None";"None";"32";"43.0";"None";"None";"None";"None";"None";"None";"None";"None";"1";"2";"Appartement";"43.0";"2.0";"None";"None";"None";"None";"nan";"-1.634513";"48.182604";"000AL"
"2021-147451";"2021-04-27";"1";"Vente";"130500.0";"21.0";"B";"RUE DU MONT SAINT MICHEL";"0087";"35830";"35024";"Betton";"35";"None";"None";"35024000AL0070";"None";"None";"54";"nan";"None";"None";"None";"None";"None";"None";"None";"None";"1";"3";"Dépendance";"nan";"0.0";"None";"None";"None";"None";"nan";"-1.634513";"48.182604";"000AL"
"2021-147451";"2021-04-27";"1";"Vente";"130500.0";"21.0";"None";"RUE DU MONT SAINT MICHEL";"0087";"35830";"35024";"Betton";"35";"None";"None";"35024000AL0070";"None";"None";"146";"nan";"None";"None";"None";"None";"None";"None";"None";"None";"1";"3";"Dépendance";"nan";"0.0";"None";"None";"None";"None";"nan";"-1.634513";"48.182604";"000AL"
"2021-146633";"2021-03-25";"1";"Vente";"179000.0";"21.0";"A";"RUE DU MONT SAINT MICHEL";"0087";"35830";"35024";"Betton";"35";"None";"None";"35024000AL0070";"None";"None";"26";"66.1";"None";"None";"None";"None";"None";"None";"None";"None";"1";"2";"Appartement";"66.0";"3.0";"None";"None";"None";"None";"nan";"-1.634513";"48.182604";"000AL"
"2021-146633";"2021-03-25";"1";"Vente";"179000.0";"21.0";"None";"RUE DU MONT SAINT MICHEL";"0087";"35830";"35024";"Betton";"35";"None";"None";"35024000AL0070";"None";"None";"131";"nan";"None";"None";"None";"None";"None";"None";"None";"None";"1";"3";"Dépendance";"nan";"0.0";"None";"None";"None";"None";"nan";"-1.634513";"48.182604";"000AL"
"2021-146633";"2021-03-25";"1";"Vente";"179000.0";"21.0";"B";"RUE DU MONT SAINT MICHEL";"0087";"35830";"35024";"Betton";"35";"None";"None";"35024000AL0070";"None";"None";"64";"nan";"None";"None";"None";"None";"None";"None";"None";"None";"1";"3";"Dépendance";"nan";"0.0";"None";"None";"None";"None";"nan";"-1.634513";"48.182604";"000AL"
"2021-146739";"2021-03-17";"1";"Vente";"170000.0";"1.0";"None";"ALL DU CALVAIRE";"0027";"35830";"35024";"Betton";"35";"None";"None";"35024000AL0351";"None";"None";"None";"nan";"None";"None";"None";"None";"None";"None";"None";"None";"0";"1";"Maison";"53.0";"3.0";"S";"sols";"None";"None";"79.0";"-1.636969";"48.18126";"000AL"
"2021-146145";"2021-03-03";"1";"Vente";"320250.0";"6.0";"None";"ALL ANTONIO VIVALDI";"0261";"35830";"35024";"Betton";"35";"None";"None";"35024000AL0385";"None";"None";"None";"nan";"None";"None";"None";"None";"None";"None";"None";"None";"0";"1";"Maison";"90.0";"4.0";"S";"sols";"None";"None";"169.0";"-1.633556";"48.185407";"000AL"
"2021-146145";"2021-03-03";"1";"Vente";"320250.0";"6.0";"None";"ALL ANTONIO VIVALDI";"0261";"35830";"35024";"Betton";"35";"None";"None";"35024000AL0388";"None";"None";"None";"nan";"None";"None";"None";"None";"None";"None";"None";"None";"0";"None";"None";"nan";"nan";"S";"sols";"None";"None";"34.0";"-1.633654";"48.1854";"000AL"
"2021-145894";"2021-01-29";"1";"Vente";"138000.0";"3.0";"None";"RUE GABRIEL FAURE";"0168";"35830";"35024";"Betton";"35";"None";"None";"35024000AL0114";"None";"None";"17";"nan";"None";"None";"None";"None";"None";"None";"None";"None";"1";"2";"Appartement";"46.0";"2.0";"None";"None";"None";"None";"nan";"-1.636969";"48.182272";"000AL"
"2021-145894";"2021-01-29";"1";"Vente";"138000.0";"3.0";"None";"RUE GABRIEL FAURE";"0168";"35830";"35024";"Betton";"35";"None";"None";"35024000AL0114";"None";"None";"108";"nan";"None";"None";"None";"None";"None";"None";"None";"None";"1";"3";"Dépendance";"nan";"0.0";"None";"None";"None";"None";"nan";"-1.636969";"48.182272";"000AL"
"2021-145462";"2021-01-22";"1";"Vente";"75000.0";"6.0";"None";"AV MOZART";"0175";"35830";"35024";"Betton";"35";"None";"None";"35024000AL0210";"None";"None";"77";"nan";"None";"None";"None";"None";"None";"None";"None";"None";"1";"2";"Appartement";"33.0";"1.0";"None";"None";"None";"None";"nan";"-1.638197";"48.181772";"000AL"
"2021-145462";"2021-01-22";"1";"Vente";"75000.0";"6.0";"None";"AV MOZART";"0175";"35830";"35024";"Betton";"35";"None";"None";"35024000AL0210";"None";"None";"3";"nan";"None";"None";"None";"None";"None";"None";"None";"None";"1";"3";"Dépendance";"nan";"0.0";"None";"None";"None";"None";"nan";"-1.638197";"48.181772";"000AL"
"2021-145357";"2021-01-13";"1";"Vente";"144000.0";"1.0";"None";"ALL JEAN SEBASTIEN BACH";"0187";"35830";"35024";"Betton";"35";"None";"None";"35024000AL0364";"None";"None";"11";"42.95";"None";"None";"None";"None";"None";"None";"None";"None";"1";"2";"Appartement";"43.0";"2.0";"None";"None";"None";"None";"nan";"-1.632645";"48.185112";"000AL"
"2021-145357";"2021-01-13";"1";"Vente";"144000.0";"1.0";"None";"ALL JEAN SEBASTIEN BACH";"0187";"35830";"35024";"Betton";"35";"None";"None";"35024000AL0364";"None";"None";"39";"nan";"None";"None";"None";"None";"None";"None";"None";"None";"1";"3";"Dépendance";"nan";"0.0";"None";"None";"None";"None";"nan";"-1.632645";"48.185112";"000AL"
"2021-145162";"2021-01-05";"1";"Vente";"163000.0";"21.0";"None";"RUE DU MONT SAINT MICHEL";"0087";"35830";"35024";"Betton";"35";"None";"None";"35024000AL0070";"None";"None";"74";"47.3";"None";"None";"None";"None";"None";"None";"None";"None";"1";"2";"Appartement";"47.0";"2.0";"None";"None";"None";"None";"nan";"-1.634513";"48.182604";"000AL"
"2021-145162";"2021-01-05";"1";"Vente";"163000.0";"21.0";"None";"RUE DU MONT SAINT MICHEL";"0087";"35830";"35024";"Betton";"35";"None";"None";"35024000AL0070";"None";"None";"100";"nan";"None";"None";"None";"None";"None";"None";"None";"None";"1";"3";"Dépendance";"nan";"0.0";"None";"None";"None";"None";"nan";"-1.634513";"48.182604";"000AL"
"2021-145162";"2021-01-05";"1";"Vente";"163000.0";"21.0";"None";"RUE DU MONT SAINT MICHEL";"0087";"35830";"35024";"Betton";"35";"None";"None";"35024000AL0070";"None";"None";"149";"nan";"None";"None";"None";"None";"None";"None";"None";"None";"1";"3";"Dépendance";"nan";"0.0";"None";"None";"None";"None";"nan";"-1.634513";"48.182604";"000AL"
"2020-440449";"2020-11-23";"1";"Vente";"187000.0";"21.0";"None";"RUE DU MONT SAINT MICHEL";"0087";"35830";"35024";"Betton";"35";"None";"None";"35024000AL0070";"None";"None";"85";"65.13";"None";"None";"None";"None";"None";"None";"None";"None";"1";"2";"Appartement";"65.0";"3.0";"None";"None";"None";"None";"nan";"-1.634513";"48.182604";"000AL"
"2020-440449";"2020-11-23";"1";"Vente";"187000.0";"21.0";"None";"RUE DU MONT SAINT MICHEL";"0087";"35830";"35024";"Betton";"35";"None";"None";"35024000AL0070";"None";"None";"94";"nan";"None";"None";"None";"None";"None";"None";"None";"None";"1";"3";"Dépendance";"nan";"0.0";"None";"None";"None";"None";"nan";"-1.634513";"48.182604";"000AL"
"2020-440449";"2020-11-23";"1";"Vente";"187000.0";"21.0";"None";"RUE DU MONT SAINT MICHEL";"0087";"35830";"35024";"Betton";"35";"None";"None";"35024000AL0070";"None";"None";"115";"nan";"None";"None";"None";"None";"None";"None";"None";"None";"1";"3";"Dépendance";"nan";"0.0";"None";"None";"None";"None";"nan";"-1.634513";"48.182604";"000AL"
"2020-440449";"2020-11-23";"1";"Vente";"187000.0";"21.0";"None";"RUE DU MONT SAINT MICHEL";"0087";"35830";"35024";"Betton";"35";"None";"None";"35024000AL0070";"None";"None";"114";"nan";"None";"None";"None";"None";"None";"None";"None";"None";"1";"3";"Dépendance";"nan";"0.0";"None";"None";"None";"None";"nan";"-1.634513";"48.182604";"000AL"
"2020-439532";"2020-10-20";"1";"Vente";"nan";"nan";"None";"RUE DU MONT SAINT MICHEL";"0087";"35830";"35024";"Betton";"35";"None";"None";"35024000AL0077";"None";"None";"None";"nan";"None";"None";"None";"None";"None";"None";"None";"None";"0";"None";"None";"nan";"nan";"S";"sols";"None";"None";"137.0";"-1.636285";"48.181169";"000AL"
"2020-439572";"2020-10-19";"1";"Vente";"360000.0";"9002.0";"None";"ALL DU CALVAIRE";"0027";"35830";"35024";"Betton";"35";"None";"None";"35024000AL0076";"None";"None";"None";"nan";"None";"None";"None";"None";"None";"None";"None";"None";"0";"1";"Maison";"82.0";"5.0";"S";"sols";"None";"None";"437.0";"-1.636205";"48.181489";"000AL"
"2020-439572";"2020-10-19";"1";"Vente";"360000.0";"9002.0";"None";"ALL DU CALVAIRE";"0027";"35830";"35024";"Betton";"35";"None";"None";"35024000AL0076";"None";"None";"None";"nan";"None";"None";"None";"None";"None";"None";"None";"None";"0";"1";"Maison";"82.0";"5.0";"J";"jardins";"POTAG";"Jardin potager";"514.0";"-1.636205";"48.181489";"000AL"
"2020-439366";"2020-10-06";"1";"Vente";"175000.0";"1.0";"None";"ALL JEAN SEBASTIEN BACH";"0187";"35830";"35024";"Betton";"35";"None";"None";"35024000AL0364";"None";"None";"3";"62.19";"None";"None";"None";"None";"None";"None";"None";"None";"1";"2";"Appartement";"62.0";"4.0";"None";"None";"None";"None";"nan";"-1.632645";"48.185112";"000AL"
"2020-439366";"2020-10-06";"1";"Vente";"175000.0";"1.0";"None";"ALL JEAN SEBASTIEN BACH";"0187";"35830";"35024";"Betton";"35";"None";"None";"35024000AL0364";"None";"None";"33";"nan";"None";"None";"None";"None";"None";"None";"None";"None";"1";"3";"Dépendance";"nan";"0.0";"None";"None";"None";"None";"nan";"-1.632645";"48.185112";"000AL"
"2020-438812";"2020-09-30";"1";"Vente";"149990.0";"21.0";"None";"RUE DU MONT SAINT MICHEL";"0087";"35830";"35024";"Betton";"35";"None";"None";"35024000AL0070";"None";"None";"72";"47.55";"None";"None";"None";"None";"None";"None";"None";"None";"1";"2";"Appartement";"47.0";"2.0";"None";"None";"None";"None";"nan";"-1.634513";"48.182604";"000AL"
"2020-438812";"2020-09-30";"1";"Vente";"149990.0";"21.0";"None";"RUE DU MONT SAINT MICHEL";"0087";"35830";"35024";"Betton";"35";"None";"None";"35024000AL0070";"None";"None";"148";"nan";"None";"None";"None";"None";"None";"None";"None";"None";"1";"3";"Dépendance";"nan";"0.0";"None";"None";"None";"None";"nan";"-1.634513";"48.182604";"000AL"
"2020-438812";"2020-09-30";"1";"Vente";"149990.0";"21.0";"None";"RUE DU MONT SAINT MICHEL";"0087";"35830";"35024";"Betton";"35";"None";"None";"35024000AL0070";"None";"None";"99";"nan";"None";"None";"None";"None";"None";"None";"None";"None";"1";"3";"Dépendance";"nan";"0.0";"None";"None";"None";"None";"nan";"-1.634513";"48.182604";"000AL"
"2020-439070";"2020-09-29";"1";"Vente";"385000.0";"14.0";"None";"RUE CLAUDE DEBUSSY";"0172";"35830";"35024";"Betton";"35";"None";"None";"35024000AL0142";"None";"None";"None";"nan";"None";"None";"None";"None";"None";"None";"None";"None";"0";"1";"Maison";"110.0";"5.0";"S";"sols";"None";"None";"507.0";"-1.635046";"48.183238";"000AL"
"2020-437707";"2020-08-24";"1";"Vente";"518300.0";"9.0";"None";"RUE MAURICE RAVEL";"0174";"35830";"35024";"Betton";"35";"None";"None";"35024000AL0184";"None";"None";"None";"nan";"None";"None";"None";"None";"None";"None";"None";"None";"0";"1";"Maison";"161.0";"6.0";"S";"sols";"None";"None";"674.0";"-1.635951";"48.182881";"000AL"
"2020-437608";"2020-08-24";"1";"Vente";"93200.0";"5.0";"None";"RUE DU MONT SAINT MICHEL";"0087";"35830";"35024";"Betton";"35";"None";"None";"35024000AL0052";"None";"None";"53";"nan";"None";"None";"None";"None";"None";"None";"None";"None";"1";"2";"Appartement";"22.0";"1.0";"None";"None";"None";"None";"nan";"-1.63514";"48.1814";"000AL"
"2020-437608";"2020-08-24";"1";"Vente";"93200.0";"5.0";"None";"RUE DU MONT SAINT MICHEL";"0087";"35830";"35024";"Betton";"35";"None";"None";"35024000AL0052";"None";"None";"24";"nan";"None";"None";"None";"None";"None";"None";"None";"None";"1";"3";"Dépendance";"nan";"0.0";"None";"None";"None";"None";"nan";"-1.63514";"48.1814";"000AL"
"2020-437359";"2020-07-23";"1";"Vente";"270000.0";"6.0";"None";"ALL DES AJONCS";"0004";"35830";"35024";"Betton";"35";"None";"None";"35024000AL0026";"None";"None";"None";"nan";"None";"None";"None";"None";"None";"None";"None";"None";"0";"1";"Maison";"104.0";"5.0";"S";"sols";"None";"None";"395.0";"-1.632043";"48.181509";"000AL"
"2020-437359";"2020-07-23";"1";"Vente";"270000.0";"6.0";"None";"ALL DES AJONCS";"0004";"35830";"35024";"Betton";"35";"None";"None";"35024000AL0026";"None";"None";"None";"nan";"None";"None";"None";"None";"None";"None";"None";"None";"0";"1";"Maison";"104.0";"5.0";"AG";"terrains d'agrément";"None";"None";"1240.0";"-1.632043";"48.181509";"000AL"
"2020-436568";"2020-06-26";"1";"Vente";"230000.0";"5.0";"None";"RUE DU MONT SAINT MICHEL";"0087";"35830";"35024";"Betton";"35";"None";"None";"35024000AL0052";"None";"None";"104";"nan";"None";"None";"None";"None";"None";"None";"None";"None";"1";"4";"Local industriel. commercial ou assimilé";"12.0";"0.0";"None";"None";"None";"None";"nan";"-1.63514";"48.1814";"000AL"
"2020-436568";"2020-06-26";"1";"Vente";"230000.0";"5.0";"None";"RUE DU MONT SAINT MICHEL";"0087";"35830";"35024";"Betton";"35";"None";"None";"35024000AL0052";"None";"None";"103";"nan";"None";"None";"None";"None";"None";"None";"None";"None";"1";"4";"Local industriel. commercial ou assimilé";"12.0";"0.0";"None";"None";"None";"None";"nan";"-1.63514";"48.1814";"000AL"
"2020-436568";"2020-06-26";"1";"Vente";"230000.0";"5.0";"None";"RUE DU MONT SAINT MICHEL";"0087";"35830";"35024";"Betton";"35";"None";"None";"35024000AL0052";"None";"None";"37";"22.19";"None";"None";"None";"None";"None";"None";"None";"None";"1";"4";"Local industriel. commercial ou assimilé";"22.0";"0.0";"None";"None";"None";"None";"nan";"-1.63514";"48.1814";"000AL"
"2020-435486";"2020-05-18";"1";"Vente";"176000.0";"19.0";"None";"RUE DU MONT SAINT MICHEL";"0087";"35830";"35024";"Betton";"35";"None";"None";"35024000AL0213";"None";"None";"130";"nan";"None";"None";"None";"None";"None";"None";"None";"None";"1";"2";"Appartement";"84.0";"3.0";"None";"None";"None";"None";"nan";"-1.634828";"48.182288";"000AL"
"2020-435486";"2020-05-18";"1";"Vente";"176000.0";"19.0";"None";"RUE DU MONT SAINT MICHEL";"0087";"35830";"35024";"Betton";"35";"None";"None";"35024000AL0213";"None";"None";"114";"nan";"None";"None";"None";"None";"None";"None";"None";"None";"1";"3";"Dépendance";"nan";"0.0";"None";"None";"None";"None";"nan";"-1.634828";"48.182288";"000AL"
"2020-435486";"2020-05-18";"1";"Vente";"176000.0";"19.0";"None";"RUE DU MONT SAINT MICHEL";"0087";"35830";"35024";"Betton";"35";"None";"None";"35024000AL0213";"None";"None";"113";"nan";"None";"None";"None";"None";"None";"None";"None";"None";"1";"3";"Dépendance";"nan";"0.0";"None";"None";"None";"None";"nan";"-1.634828";"48.182288";"000AL"
"2020-435230";"2020-04-30";"1";"Vente";"123750.0";"21.0";"A";"RUE DU MONT SAINT MICHEL";"0087";"35830";"35024";"Betton";"35";"None";"None";"35024000AL0070";"None";"None";"18";"48.2";"None";"None";"None";"None";"None";"None";"None";"None";"1";"2";"Appartement";"48.0";"2.0";"None";"None";"None";"None";"nan";"-1.634513";"48.182604";"000AL"
"2020-435230";"2020-04-30";"1";"Vente";"123750.0";"21.0";"B";"RUE DU MONT SAINT MICHEL";"0087";"35830";"35024";"Betton";"35";"None";"None";"35024000AL0070";"None";"None";"50";"nan";"None";"None";"None";"None";"None";"None";"None";"None";"1";"3";"Dépendance";"nan";"0.0";"None";"None";"None";"None";"nan";"-1.634513";"48.182604";"000AL"
"2020-435230";"2020-04-30";"1";"Vente";"123750.0";"21.0";"None";"RUE DU MONT SAINT MICHEL";"0087";"35830";"35024";"Betton";"35";"None";"None";"35024000AL0070";"None";"None";"140";"nan";"None";"None";"None";"None";"None";"None";"None";"None";"1";"3";"Dépendance";"nan";"0.0";"None";"None";"None";"None";"nan";"-1.634513";"48.182604";"000AL"
"2020-434724";"2020-04-24";"1";"Vente";"156300.0";"4.0";"None";"RUE GABRIEL FAURE";"0168";"35830";"35024";"Betton";"35";"None";"None";"35024000AL0090";"None";"None";"67";"64.0";"None";"None";"None";"None";"None";"None";"None";"None";"1";"2";"Appartement";"64.0";"3.0";"None";"None";"None";"None";"nan";"-1.63786";"48.181572";"000AL"
"2020-434724";"2020-04-24";"1";"Vente";"156300.0";"4.0";"None";"RUE GABRIEL FAURE";"0168";"35830";"35024";"Betton";"35";"None";"None";"35024000AL0090";"None";"None";"35";"nan";"None";"None";"None";"None";"None";"None";"None";"None";"1";"3";"Dépendance";"nan";"0.0";"None";"None";"None";"None";"nan";"-1.63786";"48.181572";"000AL"
"2020-434724";"2020-04-24";"1";"Vente";"156300.0";"4.0";"None";"RUE GABRIEL FAURE";"0168";"35830";"35024";"Betton";"35";"None";"None";"35024000AL0090";"None";"None";"12";"nan";"None";"None";"None";"None";"None";"None";"None";"None";"1";"3";"Dépendance";"nan";"0.0";"None";"None";"None";"None";"nan";"-1.63786";"48.181572";"000AL"
"2020-434428";"2020-03-02";"1";"Vente";"181000.0";"21.0";"None";"RUE DU MONT SAINT MICHEL";"0087";"35830";"35024";"Betton";"35";"None";"None";"35024000AL0070";"None";"None";"76";"65.51";"None";"None";"None";"None";"None";"None";"None";"None";"1";"2";"Appartement";"65.0";"3.0";"None";"None";"None";"None";"nan";"-1.634513";"48.182604";"000AL"
"2020-434428";"2020-03-02";"1";"Vente";"181000.0";"21.0";"None";"RUE DU MONT SAINT MICHEL";"0087";"35830";"35024";"Betton";"35";"None";"None";"35024000AL0070";"None";"None";"96";"nan";"None";"None";"None";"None";"None";"None";"None";"None";"1";"3";"Dépendance";"nan";"0.0";"None";"None";"None";"None";"nan";"-1.634513";"48.182604";"000AL"
"2020-434428";"2020-03-02";"1";"Vente";"181000.0";"21.0";"None";"RUE DU MONT SAINT MICHEL";"0087";"35830";"35024";"Betton";"35";"None";"None";"35024000AL0070";"None";"None";"123";"nan";"None";"None";"None";"None";"None";"None";"None";"None";"1";"3";"Dépendance";"nan";"0.0";"None";"None";"None";"None";"nan";"-1.634513";"48.182604";"000AL"
"2020-434428";"2020-03-02";"1";"Vente";"181000.0";"21.0";"None";"RUE DU MONT SAINT MICHEL";"0087";"35830";"35024";"Betton";"35";"None";"None";"35024000AL0070";"None";"None";"124";"nan";"None";"None";"None";"None";"None";"None";"None";"None";"1";"3";"Dépendance";"nan";"0.0";"None";"None";"None";"None";"nan";"-1.634513";"48.182604";"000AL"
"2020-434211";"2020-02-28";"1";"Vente";"162000.0";"1.0";"None";"ALL JEAN SEBASTIEN BACH";"0187";"35830";"35024";"Betton";"35";"None";"None";"35024000AL0364";"None";"None";"10";"nan";"None";"None";"None";"None";"None";"None";"None";"None";"1";"2";"Appartement";"62.0";"3.0";"None";"None";"None";"None";"nan";"-1.632645";"48.185112";"000AL"
"2020-434211";"2020-02-28";"1";"Vente";"162000.0";"1.0";"None";"ALL JEAN SEBASTIEN BACH";"0187";"35830";"35024";"Betton";"35";"None";"None";"35024000AL0364";"None";"None";"35";"nan";"None";"None";"None";"None";"None";"None";"None";"None";"1";"3";"Dépendance";"nan";"0.0";"None";"None";"None";"None";"nan";"-1.632645";"48.185112";"000AL"
"2020-434211";"2020-02-28";"1";"Vente";"162000.0";"1.0";"None";"ALL JEAN SEBASTIEN BACH";"0187";"35830";"35024";"Betton";"35";"None";"None";"35024000AL0364";"None";"None";"47";"nan";"None";"None";"None";"None";"None";"None";"None";"None";"1";"3";"Dépendance";"nan";"0.0";"None";"None";"None";"None";"nan";"-1.632645";"48.185112";"000AL"
"2020-433364";"2020-01-28";"1";"Vente";"135000.0";"5.0";"None";"RUE DU MONT SAINT MICHEL";"0087";"35830";"35024";"Betton";"35";"None";"None";"35024000AL0052";"None";"None";"56";"nan";"None";"None";"None";"None";"None";"None";"None";"None";"1";"2";"Appartement";"57.0";"3.0";"None";"None";"None";"None";"nan";"-1.63514";"48.1814";"000AL"
"2020-433388";"2020-01-28";"1";"Vente";"167800.0";"15.0";"C";"RUE DU MONT SAINT MICHEL";"0087";"35830";"35024";"Betton";"35";"None";"None";"35024000AL0064";"None";"None";"9";"nan";"None";"None";"None";"None";"None";"None";"None";"None";"1";"2";"Appartement";"62.0";"3.0";"None";"None";"None";"None";"nan";"-1.635695";"48.181764";"000AL"
"2020-433364";"2020-01-28";"1";"Vente";"135000.0";"5.0";"None";"RUE DU MONT SAINT MICHEL";"0087";"35830";"35024";"Betton";"35";"None";"None";"35024000AL0052";"None";"None";"5";"nan";"None";"None";"None";"None";"None";"None";"None";"None";"1";"3";"Dépendance";"nan";"0.0";"None";"None";"None";"None";"nan";"-1.63514";"48.1814";"000AL"
"2020-433388";"2020-01-28";"1";"Vente";"167800.0";"9002.0";"None";"RUE DU MONT SAINT MICHEL";"0087";"35830";"35024";"Betton";"35";"None";"None";"35024000AL0064";"None";"None";"152";"nan";"None";"None";"None";"None";"None";"None";"None";"None";"1";"3";"Dépendance";"nan";"0.0";"None";"None";"None";"None";"nan";"-1.635695";"48.181764";"000AL"
"2020-433388";"2020-01-28";"1";"Vente";"167800.0";"9001.0";"None";"RUE DU MONT SAINT MICHEL";"0087";"35830";"35024";"Betton";"35";"None";"None";"35024000AL0064";"None";"None";"124";"nan";"None";"None";"None";"None";"None";"None";"None";"None";"1";"3";"Dépendance";"nan";"0.0";"None";"None";"None";"None";"nan";"-1.635695";"48.181764";"000AL"
"2020-433021";"2020-01-20";"1";"Vente";"128000.0";"1.0";"None";"ALL JEAN SEBASTIEN BACH";"0187";"35830";"35024";"Betton";"35";"None";"None";"35024000AL0364";"None";"None";"15";"37.91";"None";"None";"None";"None";"None";"None";"None";"None";"1";"2";"Appartement";"38.0";"2.0";"None";"None";"None";"None";"nan";"-1.632645";"48.185112";"000AL"
"2020-433021";"2020-01-20";"1";"Vente";"128000.0";"1.0";"None";"ALL JEAN SEBASTIEN BACH";"0187";"35830";"35024";"Betton";"35";"None";"None";"35024000AL0364";"None";"None";"30";"nan";"None";"None";"None";"None";"None";"None";"None";"None";"1";"3";"Dépendance";"nan";"0.0";"None";"None";"None";"None";"nan";"-1.632645";"48.185112";"000AL"
"2019-528785";"2019-12-13";"1";"Vente";"195000.0";"21.0";"None";"RUE DU MONT SAINT MICHEL";"0087";"35830";"35024";"Betton";"35";"None";"None";"35024000AL0070";"None";"None";"83";"72.5";"None";"None";"None";"None";"None";"None";"None";"None";"1";"2";"Appartement";"72.0";"4.0";"None";"None";"None";"None";"nan";"-1.634513";"48.182604";"000AL"
"2019-528785";"2019-12-13";"1";"Vente";"195000.0";"21.0";"None";"RUE DU MONT SAINT MICHEL";"0087";"35830";"35024";"Betton";"35";"None";"None";"35024000AL0070";"None";"None";"105";"nan";"None";"None";"None";"None";"None";"None";"None";"None";"1";"3";"Dépendance";"nan";"0.0";"None";"None";"None";"None";"nan";"-1.634513";"48.182604";"000AL"
"2019-528785";"2019-12-13";"1";"Vente";"195000.0";"21.0";"None";"RUE DU MONT SAINT MICHEL";"0087";"35830";"35024";"Betton";"35";"None";"None";"35024000AL0070";"None";"None";"93";"nan";"None";"None";"None";"None";"None";"None";"None";"None";"1";"3";"Dépendance";"nan";"0.0";"None";"None";"None";"None";"nan";"-1.634513";"48.182604";"000AL"
"2019-527736";"2019-11-27";"1";"Vente";"167000.0";"19.0";"A";"RUE DU MONT SAINT MICHEL";"0087";"35830";"35024";"Betton";"35";"None";"None";"35024000AL0213";"None";"None";"34";"77.46";"None";"None";"None";"None";"None";"None";"None";"None";"1";"2";"Appartement";"76.0";"3.0";"None";"None";"None";"None";"nan";"-1.634828";"48.182288";"000AL"
